url,title,content
https://www.consystec.com/pr2026proto/web/bundle.htm?id=1046,Bundle standard - 1046,"IPv4 - id:1046 RFC 791 IPv4 (Main RFC) RFC 791 Internet Protocol RFC def the main (older version) networking proto for the Internet. RFC 792 IPv4 ICMP RFC 792 ICMP RFC def a proto that can be used to control IP communications. ICMP is an integral part of the IP and must be implemented by every IP module. RFC 950 IPv4 Subnetting RFC 950 Internet Standard Subnetting Procedure RFC discusses the utility of ""subnets"" of Internet networks, which are logically visible sub-sections of a single Internet network. For administrative or technical reasons, many organizations have chosen to divide one Internet network into several subnets, instead of acquiring a set of Internet network numbers. RFC spec procedures for the use of subnets. These procedures are for hosts (e.g., workstations). The procedures used in and between subnet gateways are not fully described. RFC 919 IPv4 Broadcast RFC 919 Broadcasting Internet Datagrams RFC def how to implement broadcast capabilities on local area networks. RFC 922 IPv4 Broadcasting in Subnets RFC 922 Broadcasting Internet Datagrams in the Presence of Subnets RFC def how to implement broadcast capabilities on subnet environments. RFC 1112 IPv4 Multicasting RFC 1112 Host Extensions for IP Multicasting RFC spec the extensions required of a host impl of the IP to support multicasting. It is the recommended std for IP multicasting in the Internet."
https://www.consystec.com/pr2026proto/web/bundle.htm?id=1101,Bundle standard - 1101,"SNMPv3 MIB - id:1101 ISO 15784-2 ISO 15784-2 Intelligent transport systems (ITS) -- Data exchange involving roadside modules comm -- Part 2: Centre to field device communications using SNMP ISO 15784-2 spec the standards that provide a mechanism to exchange data and messages in the following cases: a) between a traffic mgmt center(s) and roadside modules for traffic management; and b) between roadside modules used for traffic management. RFC 3411 SNMP Architecture MIB RFC 3411 An Architecture for Describing SNMP Management Frameworks RFC def the basic arch for SNMPv3 and includes the definition of info objects for managing the SNMP entity's architecture. RFC 3412 SNMP Message Processing MIB RFC 3412 Message Processing and Dispatching for the SNMP RFC contains a MIB that assists in managing the message processing and dispatching subsystem of an SNMP entity. RFC 3413 SNMP Target and Notification MIBs RFC 3413 SNMP Applications RFC includes MIBs that allow for the configuration and mgmt of remote Targets, Notifications, and Proxys. RFC 3414 SNMP USM MIB RFC 3414 User-based Security Model (USM) for version 3 of the Simple Network Management Protocol (SNMPv3) RFC contains a MIB that assists in configuring and managing the user-based security model. RFC 3415 SNMP VACM MIB RFC 3415 View-based Access Control Model (VACM) for the SNMP RFC contains a MIB that supports the configuration and mgmt of the View-based access control model of SNMP. RFC 3418 SNMP MIB RFC 3418 MIB for the SNMP RFC def the MIB to configure and manage an SNMP entity. RFC 2863 SNMP Interfaces MIB RFC 2863 The Interfaces Group MIB RFC def the MIB to manage and control interfaces on a device. RFC 3635 Ethernet MIB RFC 3635 Definitions of Managed Objects for the Ethernet-like Interface Types RFC def info objects that allow for the mgmt of Ethernet type interfaces. RFC 4022 SNMP TCP MIB RFC 4022 Management Information Base for the TCP (TCP) RFC def a MIB for the mgmt of TCP implementations. RFC 4113 SNMP UDP MIB RFC 4113 Management Information Base for the UDP (UDP) RFC def the MIB to allow for the mgmt of UDP implementations. RFC 4292 SNMP IP Forwarding MIB RFC 4292 IP Forwarding Table MIB RFC def a MB to manage IP forwarding in routers. RFC 4293 SNMP IP MIB RFC 4293 Management Information Base for the IP RFC def the MIB that manages an IP entity."
https://www.consystec.com/pr2026proto/web/bundle.htm?id=1114,Bundle standard - 1114,"ISO 15784-2 - id:1114 RFC 3416 SNMP Protocol Operations RFC 3416 Version 2 of the Protocol Operations for the SNMP RFC def the message structure and proto operations used by SNMPv3. RFC 3415 SNMP VACM MIB RFC 3415 View-based Access Control Model (VACM) for the SNMP RFC contains a MIB that supports the configuration and mgmt of the View-based access control model of SNMP. RFC 3414 SNMP USM MIB RFC 3414 User-based Security Model (USM) for version 3 of the Simple Network Management Protocol (SNMPv3) RFC contains a MIB that assists in configuring and managing the user-based security model. RFC 3413 SNMP Target and Notification MIBs RFC 3413 SNMP Applications RFC includes MIBs that allow for the configuration and mgmt of remote Targets, Notifications, and Proxys. RFC 3412 SNMP Message Processing MIB RFC 3412 Message Processing and Dispatching for the SNMP RFC contains a MIB that assists in managing the message processing and dispatching subsystem of an SNMP entity. RFC 3411 SNMP Architecture MIB RFC 3411 An Architecture for Describing SNMP Management Frameworks RFC def the basic arch for SNMPv3 and includes the definition of info objects for managing the SNMP entity's architecture."
https://www.consystec.com/pr2026proto/web/bundle.htm?id=1115,Bundle standard - 1115,"RTTT DSRC - id:1115 CEN 12253 RTTT DSRC - PHY at 5.8 GHz CEN 12253 RTTT - Dedicated short-range comm - Physical layer using microwave at 5,8 GHz This document 1) spec a physical layer at 5.8 GHz for DSRC as applicable in the field of Road Transport and Traffic Telematics (RTTT); 2) provides requirements for the comm medium used for exchange of info between an RSU and an OBU; 3) caters for a comm means to be used by several applications in the RTTT sector. The DSRC Standards EN 12253, EN 12795 and EN 12834 form a three-layered arch for DSRC and are designed to encompass a wide range of services for different purposes in order to make the basic DSRC arch suited for many different applications and for a wide range of possible products and systems. CEN 12795 RTTT DSRC - DLL: MAC & LLC CEN 12795 RTTT - DSRC - DSRC data link layer: medium access and logical link control This European Standard def the Data Link Layer of DSRC. The MAC sublayer is specific to the DSRC. The LLC services offered are unacknowledged and acknowledged connectionless services based on [ISO/IEC 8802-2]."
https://www.consystec.com/pr2026proto/web/bundle.htm?id=1120,Bundle standard - 1120,"TCP/IP - id:1120 RFC 9293 TCP RFC 9293 TCP Specifies the TCP (TCP). TCP is an important transport-layer proto in the Internet proto stack, and it has continuously evolved over decades of use and growth of the Internet. Over this time, a number of changes have been made to TCP as it was specified in RFC 793, though these have only been documented in a piecemeal fashion. This document collects and brings those changes together with the proto specification from RFC 793. This document obsoletes RFC 793, as well as RFCs 879, 2873, 6093, 6429, 6528, and 6691 that updated parts of RFC 793. It updates RFCs 1011 and 1122, and it should be considered as a replacement for the portions of those documents dealing with TCP requirements. It also updates RFC 5961 by adding a small clarification in reset handling while in the SYN-RECEIVED state. The TCP header control bits from RFC 793 have also been updated based on RFC 3168. IPv4 IAB STD 5 Internet Protocol A bundle of standards (RFCs) that define how IPv4 works IPv6 IPv6 Bundle A bundle of standards (RFCs) that define the requirements of a typical IPv6 implementation. An impl may need to consider additional RFCs besides the ones shown."
https://www.consystec.com/pr2026proto/web/bundle.htm?id=1121,Bundle standard - 1121,"IPv6 - id:1121 RFC 8200 IP v6 RFC 8200 Internet Protocol, Version 6 Specifies version 6 of the Internet Protocol (IPv6). RFC 4443 IPv6 ICMP RFC 4443 ICMP (ICMPv6) for the Internet Protocol Version 6 (IPv6) Specification RFC def the control messages to manage IPv6. RFC 4291 IPv6 Addressing RFC 4291 IP Version 6 Addressing Architecture RFC def the addressing arch of the IP Version 6 (IPv6) protocol. It includes the IPv6 addressing model, text representations of IPv6 addresses, definition of IPv6 unicast addresses, anycast addresses, and multicast addresses, and an IPv6 node's required addresses."
https://www.consystec.com/pr2026proto/web/bundle.htm?id=1131,Bundle standard - 1131,"NTCIP AP-STMF - id:1131 RFC 1155 SNMPv1 SMI RFC 1155 Structure and Identification of Management Information for TCP/IP-based Internets RFC provides the common definitions for the structure and identification of mgmt info for TCP/IP-based internets. Together with its companion memos which describe the mgmt info base along with the network mgmt protocol, these documents provide a simple, workable arch and system for managing TCP/IP-based internets and specifically, the Internet. RFC 1157 SNMPv1 RFC 1157 A SNMP RFC def a generic proto that allows a manager to get and set info in a remote device. Companion standards define how to document info managed by this proto in a computer-readable format.

This is the initial version of the protocol, which does not provide for any security."
https://www.consystec.com/pr2026proto/web/bundle.htm?id=1132,Bundle standard - 1132,"Field SubNet Alternatives - id:1132 NTCIP SP-PPP/RS232 NTCIP 2103 NTCIP SP-PPP/RS232 This std def the Access Layer for center-to-field communications where the local connection is a dial-up RS-232 interface, or similar point-to-point (one-to-one) connection environment. NTCIP SP-PMPP/FSK NTCIP 2102 NTCIP SP-PMPP/FSK This std def the Access Layer for a center-to-field connection where the local connection is a twisted pair copper wire that meets Frequency Shift Key specifications. NTCIP SP-PMPP/RS232 NTCIP 2101 NTCIP SP-PMPP/RS232 This std def the Access Layer for center-to-field communications where the local connection is an RS-232 style interface. Internet Subnet Alternatives Internet Subnet Alternatives A set of alternative standards that includes any Subnet Layer method of connecting to the Internet. NTCIP SP-Ethernet NTCIP 2104 NTCIP SP-Ethernet This std def the Access Layer for center-to-field communications where the local connection is some variant of Ethernet."
https://www.consystec.com/pr2026proto/web/bundle.htm?id=1133,Bundle standard - 1133,Field TransNet Alternatives - id:1133 NTCIP TP-Transportation NTCIP 2201 NTCIP TP-Transportation Transport Profile This std def minimal-overhead Network and Transport Layers for center-to-field communications where the infrastructure does not require routing. NTCIP TP-Internet NTCIP 2202 NTCIP TP-Internet (TCP/IP and UDP/IP) This std spec the standards required for the typical Network and Transport Layers used for IP stacks.
https://www.consystec.com/pr2026proto/web/bundle.htm?id=1134,Bundle standard - 1134,"SNMPv1 MIB - id:1134 RFC 1157 SNMPv1 RFC 1157 A SNMP RFC def a generic proto that allows a manager to get and set info in a remote device. Companion standards define how to document info managed by this proto in a computer-readable format.

This is the initial version of the protocol, which does not provide for any security. RFC 1213 MIB-II RFC 1213 Management Information Base for Network Management of TCP/IP-based internets: MIB-II RFC def the second version of the Management Information Base (MIB-II) for use with network mgmt protocols in TCP/IP-based internets. RFC is often combined with RFC 1155 and RFC 1157 to manage TCP/IP-based internets.

This is part of the original version 1 of SNMP, which does not provide any comm security. RFC 1643 Ethernet MIB RFC 1643 Definitions of Managed Objects for the Ethernet-like Interface Types RFC def info objects that allow for the mgmt of Ethernet type interfaces. It is part of the initial version 1 of SNMP, which does not provide for secure communications."
